account_id,invoice_date,net_amount
ACC13,2024-08-17,499
ACC13,2024-09-17,499
ACC13,2024-10-17,499
ACC13,2024-11-17,499
ACC14,2024-03-18,199
ACC14,2024-04-18,199
ACC14,2024-05-18,199
ACC14,2024-06-18,199
ACC14,2024-07-18,199
ACC14,2024-08-18,199
ACC14,2024-09-18,199
ACC14,2024-10-18,199
ACC14,2024-11-18,199
ACC14,2024-12-18,199
ACC14,2025-01-18,199
ACC14,2025-02-18,199
ACC14,2025-03-18,199
ACC14,2025-04-18,199
ACC14,2025-05-18,199
ACC14,2025-06-18,199
ACC14,2025-07-18,199
ACC14,2025-08-18,199
ACC14,2025-09-18,199
ACC15,2024-03-23,99
ACC15,2024-04-23,99
ACC15,2024-05-23,99
ACC15,2024-06-23,99
ACC15,2024-07-23,99
ACC15,2024-08-23,99
ACC15,2024-09-23,99
ACC15,2024-10-23,99
ACC15,2024-11-23,99
ACC15,2024-12-23,99
ACC15,2025-01-23,99
ACC15,2025-02-23,99
ACC15,2025-03-23,99
ACC15,2025-04-23,99
ACC15,2025-05-23,99
ACC16,2024-01-19,99
ACC16,2024-02-19,99
ACC16,2024-03-19,99
ACC16,2024-04-19,99
ACC16,2024-05-19,99
ACC16,2024-06-19,99
ACC17,2024-03-17,199
ACC17,2024-04-17,199
ACC17,2024-05-17,199
ACC17,2024-06-17,199
ACC17,2024-07-17,199
ACC17,2024-08-17,199
ACC17,2024-09-17,199
ACC17,2024-10-17,199
ACC17,2024-11-17,199
ACC17,2024-12-17,199
ACC17,2025-01-17,199
ACC17,2025-02-17,199
ACC17,2025-03-17,199
ACC17,2025-04-17,199
ACC18,2024-03-16,99
ACC18,2024-04-16,99
ACC18,2024-05-16,99
ACC18,2024-06-16,99
ACC18,2024-07-16,99
ACC18,2024-08-16,99
ACC18,2024-09-16,99
ACC18,2024-10-16,99
ACC18,2024-11-16,99
ACC18,2024-12-16,99
ACC18,2025-01-16,99
ACC18,2025-02-16,99
ACC18,2025-03-16,99
ACC18,2025-04-16,99
ACC18,2025-05-16,99
ACC18,2025-06-16,99
ACC19,2024-03-17,199
ACC19,2024-04-17,199
ACC19,2024-05-17,199
ACC19,2024-06-17,199
ACC19,2024-07-17,199
ACC19,2024-08-17,199
ACC19,2024-09-17,199
ACC19,2024-10-17,199
ACC19,2024-11-17,199
ACC19,2024-12-17,199
ACC19,2025-01-17,199
ACC19,2025-02-17,199
ACC19,2025-03-17,199
ACC19,2025-04-17,199
ACC19,2025-05-17,199
ACC20,2024-03-26,499
ACC20,2024-04-26,499
ACC20,2024-05-26,499
ACC20,2024-06-26,499
ACC20,2024-07-26,499
ACC20,2024-08-26,499
ACC20,2024-09-26,499
ACC20,2024-10-26,499
ACC20,2024-11-26,499
ACC20,2024-12-26,499
ACC20,2025-01-26,499
ACC20,2025-02-26,499
ACC20,2025-03-26,499
ACC21,2024-03-10,199
ACC21,2024-04-10,199
ACC21,2024-05-10,199
ACC21,2024-06-10,199
ACC21,2024-07-10,199
ACC21,2024-08-10,199
ACC21,2024-09-10,199
ACC21,2024-10-10,199
ACC21,2024-11-10,199
ACC21,2024-12-10,199
ACC21,2025-01-10,199
ACC21,2025-02-10,199
ACC21,2025-03-10,199
ACC21,2025-04-10,199
ACC21,2025-05-10,199
ACC21,2025-06-10,199
ACC21,2025-07-10,199
ACC22,2024-03-14,199
ACC22,2024-04-14,199
ACC22,2024-05-14,199
ACC22,2024-06-14,199
ACC22,2024-07-14,199
ACC22,2024-08-14,199
ACC22,2024-09-14,199
ACC22,2024-10-14,199
ACC22,2024-11-14,199
ACC22,2024-12-14,199
ACC22,2025-01-14,199
ACC22,2025-02-14,199
ACC22,2025-03-14,199
ACC22,2025-04-14,199
ACC22,2025-05-14,199
ACC22,2025-06-14,199
ACC22,2025-07-14,199
ACC22,2025-08-14,199
ACC22,2025-09-14,199
ACC23,2024-03-17,199
ACC23,2024-04-17,199
ACC23,2024-05-17,199
ACC23,2024-06-17,199
ACC23,2024-07-17,199
ACC23,2024-08-17,199
ACC24,2024-02-05,499
ACC24,2024-03-05,499
ACC24,2024-04-05,499
ACC24,2024-05-05,499
ACC24,2024-06-05,499
ACC24,2024-07-05,499
ACC24,2024-08-05,499
ACC24,2024-09-05,499
ACC24,2024-10-05,499
ACC24,2024-11-05,499
ACC24,2024-12-05,499
ACC24,2025-01-05,499
ACC24,2025-02-05,499
ACC24,2025-03-05,499
ACC24,2025-04-05,499
ACC24,2025-05-05,499
ACC25,2024-01-15,499
ACC25,2024-02-15,499
ACC25,2024-03-15,499
ACC25,2024-04-15,499
ACC25,2024-05-15,499
ACC25,2024-06-15,499
ACC25,2024-07-15,499
ACC25,2024-08-15,499
ACC25,2024-09-15,499
ACC25,2024-10-15,499
ACC25,2024-11-15,499
ACC25,2024-12-15,499
ACC25,2025-01-15,499
ACC26,2024-02-20,199
ACC26,2024-03-20,199
ACC26,2024-04-20,199
ACC26,2024-05-20,199
ACC26,2024-06-20,199
ACC26,2024-07-20,199
ACC27,2024-01-23,499
ACC27,2024-02-23,499
ACC27,2024-03-23,499
ACC27,2024-04-23,499
ACC27,2024-05-23,499
ACC27,2024-06-23,499
ACC27,2024-07-23,499
ACC27,2024-08-23,499
ACC27,2024-09-23,499
ACC27,2024-10-23,499
ACC27,2024-11-23,499
ACC28,2024-01-18,99
ACC28,2024-02-18,99
ACC28,2024-03-18,99
ACC28,2024-04-18,99
ACC28,2024-05-18,99
ACC28,2024-06-18,99
ACC29,2024-03-25,199
ACC29,2024-04-25,199
ACC29,2024-05-25,199
ACC29,2024-06-25,199
ACC29,2024-07-25,199
ACC29,2024-08-25,199
ACC29,2024-09-25,199
ACC29,2024-10-25,199
ACC29,2024-11-25,199
ACC29,2024-12-25,199
ACC29,2025-01-25,199
ACC30,2024-03-23,199
ACC30,2024-04-23,199
ACC30,2024-05-23,199
ACC30,2024-06-23,199
ACC30,2024-07-23,199
ACC30,2024-08-23,199
ACC30,2024-09-23,199
ACC30,2024-10-23,199
ACC30,2024-11-23,199
ACC30,2024-12-23,199
ACC30,2025-01-23,199
ACC30,2025-02-23,199
ACC30,2025-03-23,199
ACC30,2025-04-23,199
ACC30,2025-05-23,199
ACC30,2025-06-23,199
ACC31,2024-01-24,99
ACC31,2024-02-24,99
ACC31,2024-03-24,99
ACC31,2024-04-24,99
ACC31,2024-05-24,99
ACC31,2024-06-24,99
ACC31,2024-07-24,99
ACC31,2024-08-24,99
ACC31,2024-09-24,99
ACC31,2024-10-24,99
ACC31,2024-11-24,99
ACC31,2024-12-24,99
ACC31,2025-01-24,99
ACC31,2025-02-24,99
ACC31,2025-03-24,99
ACC32,2024-04-05,99
ACC32,2024-05-05,99
ACC32,2024-06-05,99
ACC32,2024-07-05,99
ACC32,2024-08-05,99
ACC32,2024-09-05,99
ACC32,2024-10-05,99
ACC32,2024-11-05,99
ACC32,2024-12-05,99
ACC32,2025-01-05,99
ACC32,2025-02-05,99
ACC32,2025-03-05,99
ACC32,2025-04-05,99
ACC32,2025-05-05,99
ACC32,2025-06-05,99
ACC32,2025-07-05,99
ACC32,2025-08-05,99
ACC33,2024-04-01,199
ACC33,2024-05-01,199
ACC33,2024-06-01,199
ACC33,2024-07-01,199
ACC33,2024-08-01,199
ACC33,2024-09-01,199
ACC33,2024-10-01,199
ACC33,2024-11-01,199
ACC33,2024-12-01,199
ACC33,2025-01-01,199
ACC33,2025-02-01,199
ACC33,2025-03-01,199
ACC33,2025-04-01,199
ACC33,2025-05-01,199
ACC33,2025-06-01,199
ACC33,2025-07-01,199
ACC33,2025-08-01,199
ACC34,2024-02-13,99
ACC34,2024-03-13,99
ACC34,2024-04-13,99
ACC34,2024-05-13,99
ACC34,2024-06-13,99
ACC34,2024-07-13,99
ACC34,2024-08-13,99
ACC34,2024-09-13,99
ACC34,2024-10-13,99
ACC34,2024-11-13,99
ACC35,2024-02-04,199
ACC35,2024-03-04,199
ACC35,2024-04-04,199
ACC35,2024-05-04,199
ACC35,2024-06-04,199
ACC35,2024-07-04,199
ACC35,2024-08-04,199
ACC36,2024-02-09,499
ACC36,2024-03-09,499
ACC36,2024-04-09,499
ACC36,2024-05-09,499
ACC36,2024-06-09,499
ACC36,2024-07-09,499
ACC36,2024-08-09,499
ACC36,2024-09-09,499
ACC36,2024-10-09,499
ACC36,2024-11-09,499
ACC36,2024-12-09,499
ACC36,2025-01-09,499
ACC36,2025-02-09,499
ACC36,2025-03-09,499
ACC36,2025-04-09,499
ACC37,2024-03-15,199
ACC37,2024-04-15,199
ACC37,2024-05-15,199
ACC37,2024-06-15,199
ACC37,2024-07-15,199
ACC37,2024-08-15,199
ACC38,2024-03-09,199
ACC38,2024-04-09,199
ACC38,2024-05-09,199
ACC38,2024-06-09,199
ACC38,2024-07-09,199
ACC38,2024-08-09,199
ACC39,2024-03-22,199
ACC39,2024-04-22,199
ACC39,2024-05-22,199
ACC39,2024-06-22,199
ACC39,2024-07-22,199
ACC39,2024-08-22,199
ACC40,2024-01-15,99
ACC40,2024-02-15,99
ACC40,2024-03-15,99
ACC40,2024-04-15,99
ACC40,2024-05-15,99
ACC40,2024-06-15,99
ACC40,2024-07-15,99
ACC40,2024-08-15,99
ACC40,2024-09-15,99
ACC40,2024-10-15,99
ACC40,2024-11-15,99
ACC40,2024-12-15,99
ACC40,2025-01-15,99
ACC40,2025-02-15,99
ACC40,2025-03-15,99
ACC41,2024-02-02,199
ACC41,2024-03-02,199
ACC41,2024-04-02,199
ACC41,2024-05-02,199
ACC41,2024-06-02,199
ACC41,2024-07-02,199
ACC41,2024-08-02,199
ACC42,2024-03-13,99
ACC42,2024-04-13,99
ACC42,2024-05-13,99
ACC42,2024-06-13,99
ACC42,2024-07-13,99
ACC42,2024-08-13,99
ACC42,2024-09-13,99
ACC42,2024-10-13,99
ACC42,2024-11-13,99
ACC42,2024-12-13,99
ACC42,2025-01-13,99
ACC42,2025-02-13,99
ACC42,2025-03-13,99
ACC43,2024-03-10,99
ACC43,2024-04-10,99
ACC43,2024-05-10,99
ACC43,2024-06-10,99
ACC43,2024-07-10,99
ACC43,2024-08-10,99
ACC43,2024-09-10,99
ACC44,2024-01-29,499
ACC44,2024-02-29,499
ACC44,2024-03-29,499
ACC44,2024-04-29,499
ACC44,2024-05-29,499
ACC44,2024-06-29,499
ACC44,2024-07-29,499
ACC45,2024-02-24,199
ACC45,2024-03-24,199
ACC45,2024-04-24,199
ACC45,2024-05-24,199
ACC45,2024-06-24,199
ACC45,2024-07-24,199
ACC45,2024-08-24,199
ACC46,2024-04-05,199
ACC46,2024-05-05,199
ACC46,2024-06-05,199
ACC46,2024-07-05,199
ACC46,2024-08-05,199
ACC46,2024-09-05,199
ACC46,2024-10-05,199
ACC46,2024-11-05,199
ACC46,2024-12-05,199
ACC46,2025-01-05,199
ACC46,2025-02-05,199
ACC46,2025-03-05,199
ACC46,2025-04-05,199
ACC46,2025-05-05,199
ACC46,2025-06-05,199
ACC46,2025-07-05,199
ACC46,2025-08-05,199
ACC47,2024-04-04,199
ACC47,2024-05-04,199
ACC47,2024-06-04,199
ACC47,2024-07-04,199
ACC47,2024-08-04,199
ACC47,2024-09-04,199
ACC47,2024-10-04,199
ACC47,2024-11-04,199
ACC47,2024-12-04,199
ACC47,2025-01-04,199
ACC47,2025-02-04,199
ACC47,2025-03-04,199
ACC47,2025-04-04,199
ACC47,2025-05-04,199
ACC47,2025-06-04,199
ACC47,2025-07-04,199
ACC47,2025-08-04,199
ACC47,2025-09-04,199
ACC48,2024-03-22,499
ACC48,2024-04-22,499
ACC48,2024-05-22,499
ACC48,2024-06-22,499
ACC48,2024-07-22,499
ACC48,2024-08-22,499
ACC48,2024-09-22,499
ACC48,2024-10-22,499
ACC48,2024-11-22,499
ACC48,2024-12-22,499
ACC48,2025-01-22,499
ACC48,2025-02-22,499
ACC48,2025-03-22,499
ACC48,2025-04-22,499
ACC48,2025-05-22,499
ACC48,2025-06-22,499
ACC48,2025-07-22,499
ACC48,2025-08-22,499
ACC49,2024-03-06,99
ACC49,2024-04-06,99
ACC49,2024-05-06,99
ACC49,2024-06-06,99
ACC49,2024-07-06,99
ACC49,2024-08-06,99
ACC49,2024-09-06,99
ACC50,2024-03-29,99
ACC50,2024-04-29,99
ACC50,2024-05-29,99
ACC50,2024-06-29,99
ACC50,2024-07-29,99
ACC50,2024-08-29,99
ACC50,2024-09-29,99
ACC50,2024-10-29,99
ACC50,2024-11-29,99
ACC50,2024-12-29,99
ACC50,2025-01-29,99
ACC51,2024-03-25,199
ACC51,2024-04-25,199
ACC51,2024-05-25,199
ACC51,2024-06-25,199
ACC51,2024-07-25,199
ACC51,2024-08-25,199
ACC51,2024-09-25,199
ACC51,2024-10-25,199
ACC51,2024-11-25,199
ACC51,2024-12-25,199
ACC51,2025-01-25,199
ACC51,2025-02-25,199
ACC51,2025-03-25,199
ACC52,2024-01-24,499
ACC52,2024-02-24,499
ACC52,2024-03-24,499
ACC52,2024-04-24,499
ACC52,2024-05-24,499
ACC52,2024-06-24,499
ACC52,2024-07-24,499
ACC52,2024-08-24,499
ACC52,2024-09-24,499
ACC52,2024-10-24,499
ACC52,2024-11-24,499
ACC53,2024-04-03,199
ACC53,2024-05-03,199
ACC53,2024-06-03,199
ACC53,2024-07-03,199
ACC53,2024-08-03,199
ACC53,2024-09-03,199
ACC53,2024-10-03,199
ACC53,2024-11-03,199
ACC53,2024-12-03,199
ACC53,2025-01-03,199
ACC53,2025-02-03,199
ACC53,2025-03-03,199
ACC53,2025-04-03,199
ACC53,2025-05-03,199
ACC53,2025-06-03,199
ACC54,2024-03-24,499
ACC54,2024-04-24,499
ACC54,2024-05-24,499
ACC54,2024-06-24,499
ACC54,2024-07-24,499
ACC54,2024-08-24,499
ACC54,2024-09-24,499
ACC54,2024-10-24,499
ACC54,2024-11-24,499
ACC54,2024-12-24,499
ACC54,2025-01-24,499
ACC54,2025-02-24,499
ACC54,2025-03-24,499
ACC54,2025-04-24,499
ACC54,2025-05-24,499
ACC55,2024-03-01,199
ACC55,2024-04-01,199
ACC55,2024-05-01,199
ACC55,2024-06-01,199
ACC55,2024-07-01,199
ACC55,2024-08-01,199
ACC55,2024-09-01,199
ACC55,2024-10-01,199
ACC55,2024-11-01,199
ACC55,2024-12-01,199
ACC55,2025-01-01,199
ACC55,2025-02-01,199
ACC55,2025-03-01,199
ACC55,2025-04-01,199
ACC55,2025-05-01,199
ACC55,2025-06-01,199
ACC55,2025-07-01,199
ACC55,2025-08-01,199
ACC56,2024-02-05,199
ACC56,2024-03-05,199
ACC56,2024-04-05,199
ACC56,2024-05-05,199
ACC56,2024-06-05,199
ACC56,2024-07-05,199
ACC56,2024-08-05,199
ACC56,2024-09-05,199
ACC56,2024-10-05,199
ACC56,2024-11-05,199
ACC56,2024-12-05,199
ACC56,2025-01-05,199
ACC57,2024-03-08,199
ACC57,2024-04-08,199
ACC57,2024-05-08,199
ACC57,2024-06-08,199
ACC57,2024-07-08,199
ACC57,2024-08-08,199
ACC57,2024-09-08,199
ACC57,2024-10-08,199
ACC57,2024-11-08,199
ACC57,2024-12-08,199
ACC57,2025-01-08,199
ACC57,2025-02-08,199
ACC57,2025-03-08,199
ACC57,2025-04-08,199
ACC57,2025-05-08,199
ACC57,2025-06-08,199
ACC57,2025-07-08,199
ACC57,2025-08-08,199
ACC57,2025-09-08,199
ACC58,2024-02-10,499
ACC58,2024-03-10,499
ACC58,2024-04-10,499
ACC58,2024-05-10,499
ACC58,2024-06-10,499
ACC58,2024-07-10,499
ACC58,2024-08-10,499
ACC58,2024-09-10,499
ACC58,2024-10-10,499
ACC58,2024-11-10,499
ACC58,2024-12-10,499
ACC58,2025-01-10,499
ACC58,2025-02-10,499
ACC58,2025-03-10,499
ACC58,2025-04-10,499
ACC59,2024-03-07,99
ACC59,2024-04-07,99
ACC59,2024-05-07,99
ACC59,2024-06-07,99
ACC59,2024-07-07,99
ACC59,2024-08-07,99
ACC59,2024-09-07,99
ACC59,2024-10-07,99
ACC60,2024-03-22,99
ACC60,2024-04-22,99
ACC60,2024-05-22,99
ACC60,2024-06-22,99
ACC60,2024-07-22,99
ACC60,2024-08-22,99
ACC60,2024-09-22,99
ACC60,2024-10-22,99
ACC60,2024-11-22,99
ACC60,2024-12-22,99
ACC60,2025-01-22,99
ACC60,2025-02-22,99
ACC60,2025-03-22,99
ACC60,2025-04-22,99
ACC60,2025-05-22,99
ACC60,2025-06-22,99
ACC60,2025-07-22,99
ACC61,2024-04-04,499
ACC61,2024-05-04,499
ACC61,2024-06-04,499
ACC61,2024-07-04,499
ACC61,2024-08-04,499
ACC61,2024-09-04,499
ACC62,2024-03-30,199
ACC62,2024-04-30,199
ACC62,2024-05-30,199
ACC62,2024-06-30,199
ACC62,2024-07-30,199
ACC62,2024-08-30,199
ACC62,2024-09-30,199
ACC62,2024-10-30,199
ACC62,2024-11-30,199
ACC63,2024-03-14,199
ACC63,2024-04-14,199
ACC63,2024-05-14,199
ACC63,2024-06-14,199
ACC63,2024-07-14,199
ACC63,2024-08-14,199
ACC63,2024-09-14,199
ACC63,2024-10-14,199
ACC63,2024-11-14,199
ACC63,2024-12-14,199
ACC64,2024-02-28,99
ACC64,2024-03-28,99
ACC64,2024-04-28,99
ACC64,2024-05-28,99
ACC64,2024-06-28,99
ACC64,2024-07-28,99
ACC64,2024-08-28,99
ACC64,2024-09-28,99
ACC65,2024-03-08,99
ACC65,2024-04-08,99
ACC65,2024-05-08,99
ACC65,2024-06-08,99
ACC65,2024-07-08,99
ACC65,2024-08-08,99
ACC65,2024-09-08,99
ACC65,2024-10-08,99
ACC65,2024-11-08,99
ACC65,2024-12-08,99
ACC65,2025-01-08,99
ACC65,2025-02-08,99
ACC65,2025-03-08,99
ACC65,2025-04-08,99
ACC65,2025-05-08,99
ACC65,2025-06-08,99
ACC65,2025-07-08,99
ACC65,2025-08-08,99
ACC65,2025-09-08,99
ACC66,2024-03-29,199
ACC66,2024-04-29,199
ACC66,2024-05-29,199
ACC66,2024-06-29,199
ACC66,2024-07-29,199
ACC66,2024-08-29,199
ACC66,2024-09-29,199
ACC66,2024-10-29,199
ACC66,2024-11-29,199
ACC66,2024-12-29,199
ACC67,2024-03-11,499
ACC67,2024-04-11,499
ACC67,2024-05-11,499
ACC67,2024-06-11,499
ACC67,2024-07-11,499
ACC67,2024-08-11,499
ACC67,2024-09-11,499
ACC67,2024-10-11,499
ACC67,2024-11-11,499
ACC67,2024-12-11,499
ACC67,2025-01-11,499
ACC68,2024-02-07,99
ACC68,2024-03-07,99
ACC68,2024-04-07,99
ACC68,2024-05-07,99
ACC68,2024-06-07,99
ACC68,2024-07-07,99
ACC68,2024-08-07,99
ACC68,2024-09-07,99
ACC68,2024-10-07,99
ACC68,2024-11-07,99
ACC68,2024-12-07,99
ACC68,2025-01-07,99
ACC68,2025-02-07,99
ACC68,2025-03-07,99
ACC68,2025-04-07,99
ACC68,2025-05-07,99
ACC69,2024-03-11,499
ACC69,2024-04-11,499
ACC69,2024-05-11,499
ACC69,2024-06-11,499
ACC69,2024-07-11,499
ACC69,2024-08-11,499
ACC69,2024-09-11,499
ACC69,2024-10-11,499
ACC69,2024-11-11,499
ACC69,2024-12-11,499
ACC69,2025-01-11,499
ACC69,2025-02-11,499
ACC69,2025-03-11,499
ACC69,2025-04-11,499
ACC69,2025-05-11,499
ACC69,2025-06-11,499
ACC70,2024-04-11,199
ACC70,2024-05-11,199
ACC70,2024-06-11,199
ACC70,2024-07-11,199
ACC70,2024-08-11,199
ACC70,2024-09-11,199
ACC70,2024-10-11,199
ACC70,2024-11-11,199
ACC70,2024-12-11,199
ACC70,2025-01-11,199
ACC70,2025-02-11,199
ACC70,2025-03-11,199
ACC70,2025-04-11,199
ACC70,2025-05-11,199
ACC70,2025-06-11,199
ACC70,2025-07-11,199
ACC70,2025-08-11,199
ACC71,2024-04-02,199
ACC71,2024-05-02,199
ACC71,2024-06-02,199
ACC71,2024-07-02,199
ACC71,2024-08-02,199
ACC71,2024-09-02,199
ACC71,2024-10-02,199
ACC71,2024-11-02,199
ACC71,2024-12-02,199
ACC71,2025-01-02,199
ACC71,2025-02-02,199
ACC71,2025-03-02,199
ACC71,2025-04-02,199
ACC71,2025-05-02,199
ACC71,2025-06-02,199
ACC71,2025-07-02,199
ACC71,2025-08-02,199
ACC71,2025-09-02,199
ACC71,2025-10-02,199
ACC72,2024-04-10,99
ACC72,2024-05-10,99
ACC72,2024-06-10,99
ACC72,2024-07-10,99
ACC72,2024-08-10,99
ACC72,2024-09-10,99
ACC72,2024-10-10,99
ACC72,2024-11-10,99
ACC72,2024-12-10,99
ACC72,2025-01-10,99
ACC72,2025-02-10,99
ACC72,2025-03-10,99
ACC72,2025-04-10,99
ACC72,2025-05-10,99
ACC72,2025-06-10,99
ACC72,2025-07-10,99
ACC72,2025-08-10,99
ACC72,2025-09-10,99
ACC73,2024-02-08,499
ACC73,2024-03-08,499
ACC73,2024-04-08,499
ACC73,2024-05-08,499
ACC73,2024-06-08,499
ACC73,2024-07-08,499
ACC73,2024-08-08,499
ACC73,2024-09-08,499
ACC73,2024-10-08,499
ACC73,2024-11-08,499
ACC73,2024-12-08,499
ACC73,2025-01-08,499
ACC73,2025-02-08,499
ACC73,2025-03-08,499
ACC73,2025-04-08,499
ACC74,2024-02-13,199
ACC74,2024-03-13,199
ACC74,2024-04-13,199
ACC74,2024-05-13,199
ACC74,2024-06-13,199
ACC74,2024-07-13,199
ACC74,2024-08-13,199
ACC74,2024-09-13,199
ACC74,2024-10-13,199
ACC74,2024-11-13,199
ACC74,2024-12-13,199
ACC74,2025-01-13,199
ACC74,2025-02-13,199
ACC74,2025-03-13,199
ACC75,2024-01-22,199
ACC75,2024-02-22,199
ACC75,2024-03-22,199
ACC75,2024-04-22,199
ACC75,2024-05-22,199
ACC75,2024-06-22,199
ACC75,2024-07-22,199
ACC75,2024-08-22,199
ACC75,2024-09-22,199
ACC75,2024-10-22,199
ACC75,2024-11-22,199
ACC76,2024-01-22,199
ACC76,2024-02-22,199
ACC76,2024-03-22,199
ACC76,2024-04-22,199
ACC76,2024-05-22,199
ACC76,2024-06-22,199
ACC76,2024-07-22,199
ACC76,2024-08-22,199
ACC76,2024-09-22,199
ACC76,2024-10-22,199
ACC77,2024-04-10,99
ACC77,2024-05-10,99
ACC77,2024-06-10,99
ACC77,2024-07-10,99
ACC77,2024-08-10,99
ACC77,2024-09-10,99
ACC77,2024-10-10,99
ACC78,2024-02-26,499
ACC78,2024-03-26,499
ACC78,2024-04-26,499
ACC78,2024-05-26,499
