customer_id,frequency,recency,T,monetary_value,pred_purchases_12m,p_alive,exp_avg_value,clv_12m
50,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
51,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
52,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
53,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
54,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
55,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
56,2,33.14,38.57,28.03,1.739,0.775,28.985,64.852
57,1,4.29,38.57,15.36,0.336,0.267,19.08,9.483
58,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
59,1,38.43,38.43,6.49,0.916,0.726,11.582,18.475
60,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
61,4,29.43,38.43,53.4,3.209,0.761,52.789,206.151
62,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
63,1,16.14,38.43,43.13,0.65,0.516,42.557,34.745
64,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
65,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
66,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
67,2,21.14,38.43,133.48,1.337,0.594,125.601,197.479
68,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
69,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
70,3,29.29,38.43,42.63,2.438,0.754,42.446,127.5
71,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
72,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
73,1,5.86,38.43,69.23,0.391,0.31,64.622,30.162
74,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
75,1,5.14,38.43,20.77,0.367,0.291,23.654,12.166
76,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
77,0,0.0,38.43,0.0,0.252,1.0,35.079,13.217
78,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
79,3,16.86,38.29,20.22,1.331,0.41,21.323,36.79
80,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
81,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
82,1,7.43,38.29,42.09,0.443,0.35,41.678,23.226
83,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
84,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
85,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
86,7,26.43,38.29,27.63,4.173,0.582,27.93,143.7
87,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
88,10,35.43,38.29,13.66,9.209,0.911,14.123,163.206
89,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
90,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
91,1,33.29,38.29,14.99,0.878,0.695,18.768,24.477
92,6,37.43,38.29,50.87,5.683,0.918,50.532,348.734
93,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
94,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
95,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
96,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
97,0,0.0,38.29,0.0,0.253,1.0,35.079,13.249
98,2,31.86,38.29,33.42,1.724,0.764,33.923,73.929
99,4,37.57,38.29,20.68,3.761,0.89,21.5,103.074
100,1,23.86,38.29,26.22,0.776,0.614,28.262,29.541
101,5,36.14,38.14,17.47,4.663,0.892,18.245,108.468
102,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
103,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
104,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
105,1,24.14,38.14,92.8,0.783,0.618,84.549,77.095
106,1,6.14,38.14,52.3,0.405,0.319,50.31,24.972
107,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
108,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
109,1,0.29,38.14,39.09,0.186,0.146,39.142,9.231
110,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
111,1,0.29,38.14,12.97,0.186,0.146,17.06,4.833
112,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
113,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
114,1,24.14,38.14,24.99,0.783,0.618,27.222,28.929
115,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
116,1,5.29,38.14,28.31,0.377,0.297,30.028,15.04
117,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
118,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
119,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
120,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
121,1,3.0,38.14,13.77,0.294,0.232,17.736,7.874
122,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
123,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
124,0,0.0,38.14,0.0,0.254,1.0,35.079,13.282
125,1,7.14,38.14,36.71,0.436,0.344,37.13,20.755
126,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
127,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
128,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
129,4,7.57,38.0,13.62,0.166,0.039,14.748,3.224
130,3,26.0,38.0,19.36,2.264,0.694,20.513,60.384
131,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
132,1,24.0,38.0,71.66,0.785,0.617,66.677,62.173
133,2,28.43,38.0,13.87,1.644,0.724,16.011,36.816
134,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
135,1,23.43,38.0,19.54,0.777,0.611,22.614,24.853
136,2,7.43,38.0,23.48,0.477,0.21,24.816,15.491
137,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
138,2,16.86,38.0,51.8,1.13,0.498,50.763,70.141
139,1,2.14,38.0,29.33,0.263,0.207,30.891,10.727
140,1,15.71,38.0,23.54,0.652,0.512,25.996,23.19
141,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
142,5,6.86,38.0,35.58,0.053,0.01,35.716,2.331
143,2,28.57,38.0,15.16,1.649,0.726,17.193,39.137
144,7,34.14,38.0,22.92,6.351,0.88,23.34,183.813
145,2,35.71,38.0,18.98,1.826,0.805,20.693,50.658
146,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
147,4,29.29,38.0,29.86,3.256,0.766,30.278,122.703
148,13,37.86,38.0,29.34,12.634,0.962,29.48,453.512
149,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
150,4,33.0,38.0,28.53,3.554,0.836,29.006,128.623
151,4,35.29,38.0,24.94,3.689,0.868,25.573,118.628
152,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
153,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
154,1,2.86,38.0,16.7,0.291,0.229,20.213,8.545
155,0,0.0,38.0,0.0,0.254,1.0,35.079,13.314
156,1,6.43,38.0,34.32,0.417,0.328,35.109,18.892
157,29,37.71,38.0,26.26,28.3,0.98,26.342,902.871
158,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
159,3,24.71,37.86,46.59,2.178,0.666,46.178,123.077
160,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
161,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
162,1,2.0,37.86,46.28,0.259,0.203,45.22,14.529
163,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
164,10,37.0,37.86,62.44,9.626,0.944,62.027,719.931
165,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
166,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
167,13,28.14,37.86,25.46,6.008,0.456,25.654,188.073
168,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
169,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
170,1,37.43,37.86,14.49,0.923,0.724,18.345,25.27
171,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
172,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
173,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
174,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
175,0,0.0,37.86,0.0,0.255,1.0,35.079,13.346
176,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
177,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
178,6,32.86,37.71,35.18,5.357,0.855,35.306,231.443
179,8,36.14,37.71,49.25,7.623,0.924,49.03,452.314
180,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
181,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
182,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
183,1,5.0,37.71,15.76,0.373,0.292,19.419,10.64
184,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
185,4,36.14,37.71,33.91,3.767,0.881,34.151,158.883
186,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
187,2,7.86,37.71,11.87,0.517,0.227,14.178,10.493
188,3,21.14,37.71,37.99,1.866,0.569,38.072,87.794
189,3,6.0,37.71,28.46,0.219,0.067,29.09,8.029
190,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
191,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
192,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
193,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
194,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
195,6,27.0,37.71,28.77,4.197,0.67,29.085,150.434
196,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
197,1,1.57,37.71,27.13,0.243,0.19,29.031,9.426
198,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
199,0,0.0,37.71,0.0,0.256,1.0,35.079,13.38
200,2,14.29,37.57,41.48,0.989,0.432,41.308,50.602
201,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
202,2,7.0,37.57,18.88,0.459,0.201,20.601,12.666
203,2,31.0,37.57,21.87,1.742,0.761,23.341,53.502
204,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
205,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
206,1,18.0,37.57,14.96,0.704,0.549,18.742,19.553
207,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
208,1,0.29,37.57,34.27,0.191,0.149,35.067,8.621
209,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
210,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
211,7,17.86,37.57,71.81,0.943,0.13,70.986,80.476
212,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
213,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
214,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
215,2,29.0,37.57,14.47,1.686,0.736,16.561,38.749
216,0,0.0,37.57,0.0,0.257,1.0,35.079,13.412
217,4,24.29,37.57,37.26,2.716,0.633,37.355,124.717
218,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
219,1,14.86,37.43,14.99,0.647,0.503,18.768,17.983
220,1,27.43,37.43,21.74,0.841,0.654,24.474,28.511
221,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
222,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
223,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
224,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
225,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
226,2,11.43,37.43,20.35,0.793,0.345,21.948,23.08
227,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
228,1,2.0,37.43,13.97,0.264,0.205,17.905,7.081
229,1,1.86,37.43,9.77,0.258,0.2,14.355,5.948
230,2,33.0,37.43,28.65,1.8,0.784,29.553,67.979
231,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
232,3,36.57,37.43,22.29,2.844,0.862,23.275,84.801
233,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
234,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
235,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
236,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
237,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
238,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
239,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
240,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
241,0,0.0,37.43,0.0,0.257,1.0,35.079,13.444
242,4,31.43,37.43,24.09,3.519,0.818,24.76,109.531
243,1,8.29,37.29,55.28,0.487,0.377,52.829,31.229
244,5,5.14,37.29,194.86,0.025,0.005,189.376,5.58
245,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
246,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
247,2,24.0,37.29,36.11,1.528,0.663,36.388,69.551
248,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
249,1,1.86,37.29,30.32,0.26,0.201,31.728,10.8
250,2,20.43,37.29,26.94,1.366,0.593,27.986,49.127
251,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
252,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
253,1,32.0,37.29,16.36,0.892,0.692,19.926,25.881
254,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
255,1,0.43,37.29,11.77,0.199,0.154,16.045,4.949
256,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
257,5,16.14,37.29,32.12,1.101,0.207,32.378,43.841
258,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
259,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
260,1,5.86,37.29,38.77,0.41,0.317,38.871,20.172
261,2,28.57,37.29,52.94,1.69,0.734,51.808,106.569
262,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
263,1,36.86,37.29,64.45,0.934,0.724,60.581,67.666
264,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
265,0,0.0,37.29,0.0,0.258,1.0,35.079,13.477
266,1,0.14,37.29,11.77,0.187,0.145,16.045,4.636
267,2,35.57,37.29,21.36,1.864,0.809,22.873,56.169
268,1,5.71,37.29,90.83,0.404,0.313,82.883,38.948
269,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
270,1,2.0,37.14,79.72,0.267,0.206,73.491,23.019
271,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
272,1,3.86,37.14,41.82,0.34,0.263,41.45,17.693
273,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
274,3,24.29,37.14,20.5,2.216,0.668,21.587,61.666
275,1,34.0,37.14,25.74,0.914,0.707,27.856,34.251
276,13,30.71,37.14,17.56,9.916,0.743,17.863,217.526
277,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
278,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
279,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
280,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
281,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
282,3,19.43,37.14,87.43,1.739,0.524,84.672,175.634
283,3,32.86,37.14,19.62,2.736,0.824,20.758,73.497
284,1,3.0,37.14,36.67,0.307,0.237,37.096,14.542
285,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
286,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
287,3,31.57,37.14,33.97,2.679,0.807,34.283,113.991
288,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
289,5,36.43,37.14,36.98,4.836,0.907,37.066,219.122
290,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
291,2,35.43,37.14,65.07,1.869,0.809,62.922,141.478
292,1,0.43,37.14,20.75,0.2,0.155,23.637,6.606
293,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
294,1,0.71,37.14,18.99,0.213,0.164,22.149,6.668
295,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
296,0,0.0,37.14,0.0,0.259,1.0,35.079,13.512
297,1,15.29,37.0,76.41,0.666,0.513,70.692,55.402
298,1,1.14,37.0,12.97,0.233,0.179,17.06,6.024
299,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
300,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
301,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
302,3,34.43,37.0,20.08,2.81,0.844,21.191,76.866
303,1,36.29,37.0,31.48,0.937,0.722,32.708,39.942
304,1,17.86,37.0,69.84,0.715,0.551,65.138,55.255
305,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
306,1,3.43,37.0,14.37,0.326,0.251,18.243,8.857
307,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
308,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
309,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
310,4,4.29,37.0,48.81,0.05,0.011,48.4,2.909
311,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
312,2,34.57,37.0,25.61,1.86,0.803,26.767,64.222
313,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
314,3,27.71,37.0,93.4,2.481,0.745,90.299,266.611
315,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
316,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
317,1,19.86,37.0,29.75,0.75,0.577,31.246,30.77
318,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
319,1,16.57,37.0,48.94,0.692,0.533,47.469,40.365
320,0,0.0,37.0,0.0,0.26,1.0,35.079,13.545
321,2,32.0,37.0,60.75,1.801,0.777,58.964,128.123
322,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
323,1,8.86,36.86,41.77,0.512,0.393,41.408,26.549
324,3,2.71,36.86,15.89,0.073,0.022,17.242,1.658
325,25,27.29,36.86,37.21,1.559,0.061,37.226,69.82
326,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
327,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
328,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
329,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
330,5,22.57,36.86,59.42,2.868,0.535,58.715,202.768
331,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
332,2,14.14,36.86,10.88,1.015,0.437,13.271,19.457
333,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
334,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
335,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
336,5,36.0,36.86,45.07,4.854,0.905,44.871,264.236
337,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
338,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
339,1,22.43,36.86,9.77,0.792,0.609,14.355,18.229
340,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
341,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
342,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
343,0,0.0,36.86,0.0,0.261,1.0,35.079,13.578
344,2,22.57,36.71,15.7,1.502,0.644,17.688,36.308
345,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
346,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
347,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
348,1,22.57,36.71,4.79,0.798,0.611,10.145,14.77
349,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
350,2,22.57,36.71,79.02,1.502,0.644,75.703,135.236
351,1,9.57,36.71,12.77,0.535,0.41,16.891,13.753
352,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
353,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
354,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
355,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
356,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
357,1,2.57,36.71,242.98,0.296,0.226,211.512,68.973
358,2,23.71,36.71,36.22,1.551,0.665,36.489,70.594
359,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
360,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
361,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
362,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
363,2,10.57,36.71,9.77,0.76,0.326,12.254,13.687
364,4,28.71,36.71,41.81,3.387,0.776,41.706,172.166
365,0,0.0,36.71,0.0,0.261,1.0,35.079,13.613
366,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
367,1,11.71,36.57,176.45,0.595,0.454,155.267,103.016
368,3,17.43,36.57,26.42,1.559,0.464,27.167,53.336
369,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
370,1,14.14,36.57,24.74,0.652,0.498,27.01,23.775
371,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
372,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
373,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
374,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
375,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
376,1,5.71,36.57,13.77,0.417,0.318,17.736,11.078
377,1,10.43,36.57,13.97,0.562,0.429,17.905,15.035
378,1,22.0,36.57,16.7,0.794,0.606,20.213,23.192
379,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
380,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
381,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
382,11,36.43,36.57,37.11,10.98,0.956,37.148,492.582
383,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
384,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
385,4,31.14,36.57,22.86,3.615,0.826,23.584,107.176
386,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
387,0,0.0,36.57,0.0,0.262,1.0,35.079,13.646
388,1,15.29,36.43,100.59,0.68,0.518,91.134,71.204
389,2,10.14,36.43,22.08,0.739,0.315,23.533,22.744
390,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
391,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
392,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
393,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
394,1,25.86,36.43,189.64,0.849,0.647,166.418,157.061
395,1,4.43,36.43,23.54,0.373,0.284,25.996,13.18
396,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
397,3,21.29,36.43,14.37,2.013,0.597,15.81,42.392
398,1,8.0,36.43,29.99,0.495,0.377,31.449,20.364
399,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
400,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
401,2,21.86,36.43,18.14,1.486,0.634,19.923,39.665
402,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
403,8,31.14,36.43,44.8,7.125,0.842,44.68,383.91
404,1,6.14,36.43,15.38,0.434,0.33,19.097,12.161
405,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
406,2,15.86,36.43,34.22,1.153,0.492,34.656,50.051
407,1,31.86,36.43,14.96,0.914,0.696,18.742,25.274
408,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
409,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
410,1,21.71,36.43,28.34,0.793,0.604,30.054,31.471
411,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
412,2,3.43,36.43,15.36,0.242,0.103,17.376,5.751
413,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
414,0,0.0,36.43,0.0,0.263,1.0,35.079,13.68
415,3,20.86,36.29,17.89,1.983,0.587,19.127,49.345
416,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
417,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
418,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
419,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
420,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
421,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
422,2,12.43,36.29,52.47,0.921,0.392,51.377,57.394
423,2,19.71,36.29,13.37,1.388,0.59,15.553,30.146
424,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
425,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
426,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
427,1,4.43,36.29,29.33,0.375,0.285,30.891,15.205
428,2,30.0,36.29,25.05,1.791,0.762,26.254,60.627
429,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
430,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
431,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
432,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
433,0,0.0,36.29,0.0,0.264,1.0,35.079,13.714
434,1,8.43,36.29,25.74,0.511,0.388,27.856,19.056
